ID,Title,Final Cleaned Summary Title,Price (USD),Sold Date,Sale Type,Image URL,Item URL,Seller,Source,Platform,List Price,Shipping,Number of Bids,Collected At,Search Term,Search Category,PSA 9 Average Price,Raw Average Price,PSA 10 Price,Price Difference (PSA 9),Price Difference (Raw),Price Difference % (PSA 9),Price Difference % (Raw)
130point_0_1754391596077,2017 Panini Prizm Patrick Mahomes II RC Light Blue Prizm SP #269 52/199 PSA 10,2017 Panini Prizm Patrick Mahomes II Light Blue #269 52/199,8000.00,2025-08-05T04:53:01.000Z,[Fixed Price],https://s3.amazonaws.com/s3.myslabs.com/media/TUCWWEV_1658356257_1.jpeg,https://myslabs.com/slab/view/788150-MS,130point,130point,130point,,,,2025-08-05T10:59:56.110Z,PSA 10,All PSA 10 cards,2431.36,686.02,8000,,,,
130point_1_1754391596087,2018 Baker Mayfield Panini Next Day Kickoff Rated Rookie Auto PSA 10 Autographs Personal Edition RC,2018 Baker Mayfield Panini Next Day Kickoff Rated Auto Personal Edition,385.00,2025-08-05T04:01:48.000Z,[Fixed Price],https://s3.amazonaws.com/s3.myslabs.com/media/64f266ca-9bf4-4c84-924d-60c1c03382f4/2025/08/04/AYPLZOS_1754359822_1.png,https://myslabs.com/slab/view/1514898-MS,130point,130point,130point,,,,2025-08-05T10:59:56.110Z,PSA 10,All PSA 10 cards,329.94,708,385,,,,
130point_2_1754391596089,2018 Donruss Optic Luka Doncic ROOKIE #177 PSA 10 GEM MINT,2018 Donruss Optic Luka Doncic #177,110.00,2025-08-04T23:28:07.000Z,[Fixed Price],https://dilxwvfkfup17.cloudfront.net/eyJpdiI6Im5WNjNJaGd0RXkxMjk2bFNoenUzWGc9PSIsInZhbHVlIjoiVDNQbU5pM0xVT1luYzBFZFpwUEIvUGkwSmh6dUNWazV6ZmRrVCtUSVFFdkEwWGhzOEZaY3ZWOFhVRXBHdGR5QlZzVXVGRVF4by9qT0V5eVVjMXNST3c9PSIsIm1hYyI6ImEzMDAwZGU1NDBiOWYzNzY4YzcyYWM4Nzc2ZThhZjJkM2M5OGI1MjQxYmRiMjhhMjc2MjRmMGI5OTJjMmUwZGEifQ==,https://sales-history.pwccmarketplace.com/?title=2018+Donruss+Optic+Luka+Doncic+ROOKIE+%23177+PSA+10+GEM+MINT,130point,130point,130point,,,,2025-08-05T10:59:56.110Z,PSA 10,All PSA 10 cards,129.18,660.93,110,,,,
130point_3_1754391596093,2020 Panini Prizm Premier League Color Blast Mohamed Salah #17 PSA 10 GEM MINT,2020 Panini Prizm Premier League Color Blast Mohamed Salah #17,1350.00,2025-08-04T22:55:25.000Z,[Fixed Price],https://dilxwvfkfup17.cloudfront.net/eyJpdiI6Im55SGE3bVpyV082V2MxUWNaZ2lWQXc9PSIsInZhbHVlIjoiaDJoanU4SjVtWFhrUGFZU290elNFVXgzWmRQYUN4NUpHTXFnd0NtU1YwWmI3RXNBSFlZOG1vN2dSYk5mSU5NUDB5ZXBsK0VIbWtac2hBNkx5TlJaQ1E9PSIsIm1hYyI6IjU5NWMxZjI0ZGQxNDc4ZDJjMTQwOGQxNDE3ZWEzNjc5YzQxNjYyN2NmZTg2NTQ1OGFjNjI0NDUxN2FhOWMzNGYifQ==,https://sales-history.pwccmarketplace.com/?title=2020+Panini+Prizm+Premier+League+Color+Blast+Mohamed+Salah+%2317+PSA+10+GEM+MINT,130point,130point,130point,,,,2025-08-05T10:59:56.110Z,PSA 10,All PSA 10 cards,722.4,2900,1350,,,,
130point_4_1754391596094,2021 Panini Prizm Draft Picks Stained Glass Cade Cunningham ROOKIE #1 PSA 10 GEM,2021 Panini Prizm Draft Picks Stained Glass Cade Cunningham #1,250.00,2025-08-04T21:07:12.000Z,[Fixed Price],https://dilxwvfkfup17.cloudfront.net/eyJpdiI6IitmQ1l6WXk4Z2JEZmFpWGZKNStodUE9PSIsInZhbHVlIjoiZjRhbjNTVU1IUjA3emwrTVZlRTAwZzlrZVlEWHV0c05XTURwS1ZBa0JUWFBtcjdXUWpyU2tPeEtYbW8zM3k4aUNPa1FUOUkwQkNOTlJRbGI0OEErM1E9PSIsIm1hYyI6IjVhZDcwY2FmMTc5Y2Y2NjhjMjY0Y2M2YjdlZTBhODZmN2Y2YzExMzI5ZTkxZjAzM2Q4NzIwNTc2NDAyOGNkNTIifQ==,https://sales-history.pwccmarketplace.com/?title=2021+Panini+Prizm+Draft+Picks+Stained+Glass+Cade+Cunningham+ROOKIE+%231+PSA+10+GEM,130point,130point,130point,,,,2025-08-05T10:59:56.110Z,PSA 10,All PSA 10 cards,719.6,2900,250,,,,
130point_5_1754391596095,2021 Pokemon Japanese 25th Anniversary Promo Holo Birthday Pikachu #7 PSA 10 GEM,2021 Pokemon Japanese Promo Holo Birthday Pikachu #7,330.00,2025-08-04T20:29:24.000Z,[Fixed Price],https://dilxwvfkfup17.cloudfront.net/eyJpdiI6IkJ4blZmNHJLUkdwVDlJblp4VS9MdGc9PSIsInZhbHVlIjoicHdYNVd3c21aOWJMTDhzei9Ma1JyUmljY0dISjdXY1BXU29LTWRvRi91YmUySEVPU3g0ekJFZ0dyVGdXRGtIM3oxUjg2WERDVHlTZldaa1dlZW9mRWc9PSIsIm1hYyI6IjYxNmYyYjRhYzk3YjUwYTQ5ZWEwNGY0ZWU1NzNlYjljNTgyNjMyNjZiODRhMDhlNGQzMmVmZTg5YmIyZWZlMDgifQ==,https://sales-history.pwccmarketplace.com/?title=2021+Pokemon+Japanese+25th+Anniversary+Promo+Holo+Birthday+Pikachu+%237+PSA+10+GEM,130point,130point,130point,,,,2025-08-05T10:59:56.110Z,PSA 10,All PSA 10 cards,47.64,2.99,330,,,,
130point_6_1754391596099,2020 Panini Obsidian Color Blast Black Lamar Jackson #CBB2 PSA 10 GEM MINT,2020 Panini Obsidian Color Blast Black Lamar Jackson #CBB2,950.00,2025-08-04T18:33:22.000Z,[Fixed Price],https://dilxwvfkfup17.cloudfront.net/eyJpdiI6InRtVVhNMU5jbXlNQkgvVi8xYW9OTVE9PSIsInZhbHVlIjoic3RDNzZ6NUt6Y3oycCtxUXc1QStuUStiYnVHWGNHYnU3M280cEVGQ1ZtMzQ1eHlIRkZVa0l0d2MrRzNCQlBnNzZraTRHVmtDaXBQVWZlWFFVZjhBMUE9PSIsIm1hYyI6ImE2OTEzZDhhOWYyZGQ3NjAxNzA5NmVmODlkZjUwNGE4MGU4YTQwZjA4NTY0MDU5YWEzMGJlMjcwZDQyMzFiN2UifQ==,https://sales-history.pwccmarketplace.com/?title=2020+Panini+Obsidian+Color+Blast+Black+Lamar+Jackson+%23CBB2+PSA+10+GEM+MINT,130point,130point,130point,,,,2025-08-05T10:59:56.110Z,PSA 10,All PSA 10 cards,722.4,,950,,,,
130point_7_1754391596101,2020 Panini Prizm Hyper LeBron James #1 PSA 10 GEM MINT,2020 Panini Prizm Hyper LeBron James #1,500.00,2025-08-04T17:08:56.000Z,[Fixed Price],https://dilxwvfkfup17.cloudfront.net/eyJpdiI6ImRLNHRydUJUbjNxeG1OVExhVlp1ckE9PSIsInZhbHVlIjoiUXYwN2JkMUFLVEFIR216OFV3MmlwMDd2RGxVYlNtSHY2YVgwN3B5WUxjUHIzTUpOekhha1YrMllvYWxCMWEra01kc3hkd2V6YXBZZVhGc21jZCtNNFE9PSIsIm1hYyI6IjgyMmQwMjUxZmJjNzJiZWYyMGEzOGUzM2UwYzc0MTc1YWFjMzA1ZWI5ODc4NzdkYmEwOTMzYWNkZGFkZmMwNzIifQ==,https://sales-history.pwccmarketplace.com/?title=2020+Panini+Prizm+Hyper+LeBron+James+%231+PSA+10+GEM+MINT,130point,130point,130point,,,,2025-08-05T10:59:56.110Z,PSA 10,All PSA 10 cards,124.89,,500,,,,
130point_8_1754391596103,1982 Topps Football Archie Manning #408 PSA 10 GEM MINT,1982 Topps Football Archie Manning #408,110.00,2025-08-04T15:39:05.000Z,[Fixed Price],https://dilxwvfkfup17.cloudfront.net/eyJpdiI6IjBVQmFVcWNDOFl6MzZmU2RUNzBCYlE9PSIsInZhbHVlIjoiWmVvQXRxM0JycWhTa00yTDFiTzBIZFJhVGpaWFJoMm5CYWNRZ1hvaDFrcktBSE1leWw1UGFiNy95MXM5YVBqTnAvellqQno1VUVyS3M5cjB2MEpXZVE9PSIsIm1hYyI6IjBhMDkyNjQwM2Q0YzlhZDQyYmJiNzMxY2RhOWEzOGVlOTM1MGQyYjk4MDIzMThmZDFmNTQyZjdmZWY1NmEyM2QifQ==,https://sales-history.pwccmarketplace.com/?title=1982+Topps+Football+Archie+Manning+%23408+PSA+10+GEM+MINT,130point,130point,130point,,,,2025-08-05T10:59:56.110Z,PSA 10,All PSA 10 cards,1037.27,,110,,,,
130point_9_1754391596109,2023 Panini Prizm Silver CJ Stroud ROOKIE #339 PSA 10 GEM MINT,2023 Panini Prizm Silver CJ Stroud #339,430.00,2025-08-04T15:07:13.000Z,[Fixed Price],https://dilxwvfkfup17.cloudfront.net/eyJpdiI6Ik1rTnoyVjJFVDRwSktjK2p4NUxHREE9PSIsInZhbHVlIjoiTGp2bHNxOUMzTTBWVXVGbVBuTkFFQi9kTEpqTkpMR2hVOFFqdEhRcXBFd01UOWw4QTVBZzBUZXEyMXc2SlpqNXg2WlNtYXlMdHlYd2ZmME40SGhaeGc9PSIsIm1hYyI6ImEwNzhjZGYzNmMyZTQxMDBhMWUzZWJkMGUwMGYzNWNiODk1NTFiMjJmZWI0MTFjMmZhZDcwMTBmOGJhZGRhZDcifQ==,https://sales-history.pwccmarketplace.com/?title=2023+Panini+Prizm+Silver+CJ+Stroud+ROOKIE+%23339+PSA+10+GEM+MINT,130point,130point,130point,,,,2025-08-05T10:59:56.110Z,PSA 10,All PSA 10 cards,,,,,,,
