Category,Value,Count
Total Sets,,1342
,,
Sports,,
,Unknown,607
,Baseball,241
,Multi-Sport,74
,Hockey,125
,MMA,4
,Basketball,141
,Soccer,5
,Football,140
,Boxing,1
,Wrestling,3
,Racing,1
,,
Years,,
,1919,2
,1950,2
,1952,1
,1954,1
,1962,1
,1966,2
,1970,1
,1991,1
,1992,1
,2000,1
,2008,1
,2020,80
,2021,80
,2022,80
,2023,80
,2024,85
,2025,81
,Unknown,842
,,
Brands,,
,Unknown,561
,Topps,209
,Donruss,24
,Bowman,7
,Panini,322
,Upper Deck,176
,Score,8
,Fleer,17
,Skybox,3
,Leaf,15
,,
Sources,,
,getcardbase,856
,generated,480
,inline,6
