Category,Value,Count
Total Sets,,31700
,,
Sports,,
,Unknown,607
,Baseball,2799
,Multi-Sport,74
,Hockey,2985
,MMA,2835
,Basketball,2703
,Soccer,1942
,Football,3595
,Boxing,2832
,Wrestling,2834
,Racing,2832
,Golf,2831
,Tennis,2831
,,
Years,,
,1866,207
,1868,207
,1869,207
,1870,207
,1871,207
,1878,207
,1880,207
,1882,207
,1886,207
,1887,207
,1888,207
,1889,207
,1890,207
,1891,207
,1892,207
,1893,207
,1894,207
,1895,207
,1896,207
,1897,207
,1898,207
,1899,207
,1900,207
,1901,207
,1902,207
,1903,207
,1904,207
,1905,207
,1906,207
,1907,207
,1908,207
,1909,207
,1910,207
,1911,207
,1912,207
,1913,207
,1914,207
,1915,207
,1916,207
,1917,207
,1918,207
,1919,209
,1920,207
,1921,207
,1922,207
,1923,207
,1924,207
,1925,207
,1926,207
,1927,207
,1928,207
,1929,207
,1930,207
,1931,207
,1932,207
,1933,207
,1934,207
,1935,207
,1936,207
,1937,207
,1938,207
,1939,207
,1940,207
,1941,207
,1942,207
,1943,207
,1944,207
,1945,207
,1946,207
,1947,207
,1948,207
,1949,207
,1950,209
,1951,207
,1952,208
,1953,207
,1954,208
,1955,207
,1956,207
,1957,207
,1958,207
,1959,207
,1960,207
,1961,207
,1962,208
,1963,207
,1964,207
,1965,207
,1966,209
,1967,207
,1968,207
,1969,207
,1970,208
,1971,207
,1972,207
,1973,207
,1974,207
,1975,207
,1976,207
,1977,207
,1978,207
,1979,207
,1980,207
,1981,207
,1982,207
,1983,207
,1984,207
,1985,207
,1986,207
,1987,207
,1988,207
,1989,207
,1990,207
,1991,208
,1992,208
,1993,207
,1994,207
,1995,207
,1996,207
,1997,207
,1998,207
,1999,207
,2000,208
,2001,207
,2002,207
,2003,207
,2004,207
,2005,207
,2006,207
,2007,207
,2008,208
,2009,207
,2010,207
,2011,207
,2012,207
,2013,207
,2014,207
,2015,207
,2016,207
,2017,207
,2018,207
,2019,207
,2020,207
,2021,207
,2022,207
,2023,207
,2024,208
,2025,207
,202425,207
,Unknown,842
,,
Brands,,
,Unknown,519
,Topps,5026
,Donruss,2556
,Bowman,7
,Panini,20054
,Upper Deck,3495
,Score,8
,Fleer,17
,Skybox,3
,Leaf,15
,,
Sources,,
,getcardbase,856
,generated,30843
,inline,1
