ID,Title,Summary Title,Sport,Year,Brand,Set Name,Card Type,Condition,Grade,Raw Avg Price,PSA 9 Avg Price,PSA 10 Price,eBay Item ID,Image URL,Search Term,Source,Created At,Last Updated,Notes
134,"2023 Panini Donruss Optic - Bo Jackson #95 Holo Prizm PSA 10","2023 Panini Donruss Optic Bo Jackson #95 Holo Prizm",Baseball,2023,Panini,Base,Base,Raw,PSA 10,10.97,N/A,39.99,257052259335,https://i.ebayimg.com/images/g/8iYAAeSwrF9okk7w/s-l225.jpg,Panini Prizm PSA 10,130point_auto,2025-08-10 14:59:16,2025-08-10 16:36:23,N/A
133,"2023 PANINI DONRUSS OPTIC BLUE SCOPE PRIZM #213 BRYCE YOUNG RC PSA 10","2023 PANINI DONRUSS OPTIC BLUE SCOPE PRIZM #213 BRYCE YOUNG",Baseball,2023,Panini,Base,Rookie,Raw,PSA 10,20.5,N/A,76,388783320645,https://i.ebayimg.com/images/g/LAUAAeSwQAVojOGa/s-l225.jpg,Panini Prizm PSA 10,130point_auto,2025-08-10 14:59:16,2025-08-10 16:36:32,N/A
132,"2023-24 Panini Prizm - Victor Wembanyama #136 Silver Prizm (RC) PSA 10","2023-24 Panini Prizm Victor Wembanyama #136 Silver Prizm",Baseball,2023,Panini,Prizm,Rookie,Raw,PSA 10,243,304.81000000000006,775,267349628135,https://i.ebayimg.com/images/g/kvMAAeSwknxojA5o/s-l225.jpg,Panini Prizm PSA 10,130point_auto,2025-08-10 14:59:16,2025-08-10 16:36:39,N/A
131,"1993 Donruss #721 Chipper Jones HOF RC Rated Rookie Braves 💎PSA 10 GEM MINT💎","1993 Donruss #721 Chipper Jones Rated",Baseball,1993,Donruss,Base,Rookie,Raw,PSA 10,2.682499999999999,26,75,336116069951,https://i.ebayimg.com/images/g/xhIAAeSwOIBol0iP/s-l225.jpg,PSA 10 rookie,130point_auto,2025-08-10 14:59:15,2025-08-10 16:36:47,N/A
130,"2023 Topps Chrome #30 Stephen Curry - Purple Geometric 001/119 PSA 10 -1st print","2023 Topps Chrome #30 Stephen Curry Purple Geometric 001/119 -1st print",Baseball,2023,Topps,Chrome,Base,Raw,PSA 10,19.62222222222222,N/A,160,395901166882,https://i.ebayimg.com/images/g/~oEAAOSw5sZnNSFB/s-l225.jpg,Topps Chrome PSA 10,130point_auto,2025-08-10 14:59:11,2025-08-10 16:36:56,N/A
129,"PSA 10 2023 Topps Chrome Gunnar Henderson RC Magenta Speckle /350","2023 Topps Chrome Gunnar Henderson Magenta Speckle /350",Baseball,2023,Topps,Chrome,Rookie,Raw,PSA 10,71.12,N/A,115,396866917556,https://i.ebayimg.com/images/g/Pn4AAeSw7vhod8nX/s-l225.jpg,Topps Chrome PSA 10,130point_auto,2025-08-10 14:59:10,2025-08-10 16:37:04,N/A
128,"2023 Prizm GG Jackson II #179 Rookie RC PSA 10 GEM MINT Grizzlies","2023 Prizm GG Jackson II #179",Baseball,2023,Unknown,Unknown,Rookie,Raw,PSA 10,15.170000000000002,15.850999999999999,10.5,388788536295,https://i.ebayimg.com/images/g/f9MAAeSwlDxn0ksA/s-l225.jpg,PSA 10 rookie,130point_auto,2025-08-10 14:58:53,2025-08-10 16:37:12,N/A
127,"2024 Mosaic Brock Bowers Kaleidoscopic Rookie PSA 10","2024 Mosaic Brock Bowers Kaleidoscopic",Football,2024,Unknown,Unknown,Rookie,Raw,PSA 10,86.46,105.125,252.49,267349628137,https://i.ebayimg.com/images/g/a50AAeSwdpNojA5x/s-l225.jpg,PSA 10 rookie,130point_auto,2025-08-10 14:58:53,2025-08-10 16:37:19,N/A
126,"2024 PANINI DONRUSS OPTIC PREVIEW-RED WAVE #327 CALEB WILLIAMS ROOKIE RC PSA 10","2024 PANINI DONRUSS OPTIC PREVIEW RED WAVE #327 CALEB WILLIAMS",Baseball,2024,Panini,Base,Rookie,Raw,PSA 10,26.482,29.925,105,396894993150,https://i.ebayimg.com/images/g/lAIAAeSwf71ogTcd/s-l225.jpg,PSA 10 rookie,130point_auto,2025-08-10 14:58:53,2025-08-10 16:37:27,N/A
125,"2024 PANINI DONRUSS OPTIC PREVIEW PINK PRIZM #308 MICHAEL PENIX JR. RC PSA 10","2024 PANINI DONRUSS OPTIC PREVIEW PINK PRIZM #308 MICHAEL PENIX JR.",Baseball,2024,Panini,Base,Rookie,Raw,PSA 10,10.15375,21.11,51,388782751926,https://i.ebayimg.com/images/g/u5cAAeSwvwVojLSZ/s-l225.jpg,Panini Prizm PSA 10,130point_auto,2025-08-10 14:58:44,2025-08-10 16:37:34,N/A
