Card ID,Summary Title,Full Title,Sport,Raw Average Price,PSA 9 Average Price,Raw Card Count,PSA 9 Card Count,Price Difference,Percentage Increase,Last Updated
176,"2024 Topps Chrome Jayden Daniels Auto Aqua Geometric#081/199 9 10","2024 Topps Chrome Jayden Daniels Auto Aqua Geometric#081/199 PSA MINT 9 Auto 10",,,$600.00,0,1,,,2025-08-08T21:47:03.082Z
172,"1989 TOPPS #265 TIM BROWN HEISMAN RAIDERS","1989 TOPPS #265 TIM BROWN RC HEISMAN RAIDERS HOF PSA 10",,,$12.15,0,3,,,2025-08-08T21:47:02.410Z
152,"2023 Prizm CJ Stroud Silver #339","2023 Prizm CJ Stroud Rookie Silver #339 PSA 10",,,$108.33,0,3,,,2025-08-08T21:46:58.025Z
135,"Jim Rice 10 DNA 1975 Topps auto","Jim Rice Gem Mint 10 PSA DNA Signed 1975 Topps Rookie Autograph",,,$4000.00,0,2,,,2025-08-08T21:46:54.716Z
137,"Mike Trout 2014 Topps Chrome Sliding - Refractor #1 Angels","Mike Trout 2014 Topps Chrome Sliding - Refractor #1 PSA 10 Angels",,,$30.00,0,1,,,2025-08-08T21:46:54.797Z
120,"CGC PRISTINE 10 Japanese Terastal Festival SAR Holo Umbreon 217/187","CGC PRISTINE 10 Japanese Terastal Festival SAR Holo Umbreon ex 217/187 psa",,$559.99,,4,0,,,2025-08-08T21:46:52.071Z
117,"2021 Topps X Sports Illustrated SI Cover Ohtani Trout","2021 Topps X Sports Illustrated SI Cover Ohtani Trout PSA 10",,,$30.00,0,1,,,2025-08-08T21:46:50.995Z
108,"2023 POKEMON MEW EN-151 ILLUSTRATION #175 PSYDUCK","2023 POKEMON MEW EN-151 ILLUSTRATION RARE #175 PSYDUCK PSA 10",,$56.08,$24.01,8,89,$-32.07,-57.2%,2025-08-08T21:46:48.082Z
98,"2023 POKEMON MEW EN-151 ILLUSTRATION #176 POLIWHIRL","2023 POKEMON MEW EN-151 ILLUSTRATION RARE #176 POLIWHIRL PSA 10",,$37.32,$22.23,7,110,$-15.09,-40.4%,2025-08-08T21:46:46.748Z
100,"Dusclops - 069/064 Illustration Pokemon Shrouded Fable English","Dusclops - 069/064 Illustration Rare Pokemon Shrouded Fable English PSA 10",,,$49.99,0,1,,,2025-08-08T21:46:46.759Z
87,"9/Auto 10 - 2020 Topps Now Chrome Derek Jeter 29/49 Cert","Mint 9/Auto 10 - 2020 Topps Now Chrome – Derek Jeter – Signed – 29/49 - PSA Cert",,,$575.00,0,1,,,2025-08-08T21:46:43.839Z
89,"SHUPPET-HOLO HIDDEN FATES POKEMON SUN & MOON 2019 SV16","SHUPPET-HOLO HIDDEN FATES POKEMON SUN & MOON HIDDEN FATES 2019 SV16 PSA 10",,,$10.59,0,1,,,2025-08-08T21:46:43.887Z
91,"2024 POKEMON JPN SV8A-TERASTAL FEST MASTER BALL REVERSE HOLO GLACEON","2024 POKEMON JPN SV8A-TERASTAL FEST EX MASTER BALL REVERSE HOLO GLACEON PSA 10",,,$8.50,0,1,,,2025-08-08T21:46:43.761Z
80,"2021 Panini Donruss Optic Downtown Kyle Pitts #DT-13 Falcons","2021 Panini Donruss Optic Downtown Kyle Pitts #DT-13 (RC) Falcons *PSA 10 GEM*",,,$356.66,0,3,,,2025-08-08T21:46:42.963Z
75,"Drew Brees 2001 Topps Card #328 MT 10 AUTO GRADE","Drew Brees Signed 2001 Topps Rookie Card #328 RC PSA *GEM MT 10 AUTO GRADE*",,$425.00,,1,0,,,2025-08-08T21:46:40.512Z
63,"MONKEY D. LUFFY WANTED ONE PIECE OP03-PILLARS OF STRENGTH 2023 012","MONKEY D. LUFFY WANTED ONE PIECE OP03-PILLARS OF STRENGTH 2023 012 PSA 10",,,$72.25,0,4,,,2025-08-08T21:46:39.148Z
70,"RAIKOU VIVID VOLTAGE POKEMON SWORD & SHIELD 2020 050","RAIKOU VIVID VOLTAGE POKEMON SWORD & SHIELD VIVID VOLTAGE 2020 050 PSA 10",,$31.62,$30.38,4,9,$-1.24,-3.9%,2025-08-08T21:46:39.792Z
55,"DONQUIXOTE DOFLAMINGO WANTED ONE PIECE OP03-PILLARS OF STRENGTH 2023 009","DONQUIXOTE DOFLAMINGO WANTED ONE PIECE OP03-PILLARS OF STRENGTH 2023 009 PSA 10",,,$36.00,0,2,,,2025-08-08T21:46:34.701Z
42,"2009 Pokemon Japanese Promo Special Pack Holo Mismagius GL Lv.X #11","2009 Pokemon Japanese Promo Special Pack Holo Mismagius GL Lv.X #11 PSA 10 GEM",,,$33.60,0,11,,,2025-08-08T21:46:30.119Z
44,"VIVILLON #193 2024 POKEMON SSP EN-SURGING SPARKS ILLUSTRATION","VIVILLON #193  PSA 10 • 2024 POKEMON SSP EN-SURGING SPARKS ILLUSTRATION RARE",,$5.50,,1,0,,,2025-08-08T21:46:30.256Z
60,"2023 POKEMON SWORD & SHIELD CROWN ZENITH #GG38 /SUICUNE V","2023 POKEMON SWORD & SHIELD CROWN ZENITH #GG38 FULL ART/SUICUNE V PSA 10",,$60.65,$29.98,7,6,$-30.66,-50.6%,2025-08-08T21:42:36.314Z
58,"STANTLER 1ST EDITION POKEMON NEO REVELATION 2001 38","STANTLER 1ST EDITION POKEMON NEO REVELATION 1ST EDITION 2001 38 PSA 10",,$8.53,$16.80,3,5,$8.27,96.9%,2025-08-08T21:42:16.766Z
29,"2022 Pokemon SWSH Black Star Promo Ultra Premium Charizard V","2022 Pokemon SWSH Black Star Promo Ultra Premium Full Art Charizard V PSA 10 GEM",,$45.64,$26.64,219,131,$-18.99,-41.6%,2025-08-08T21:36:34.007Z
41,"2023 Topps Chrome Disney100 Black Kaleidoscope Russell /10 #88 9","2023 Topps Chrome Disney100 Black Kaleidoscope Russell /10 #88 PSA 9 MINT",,$97.02,$98.00,14,3,$0.98,1.0%,2025-08-08T21:24:07.337Z
39,"CJ Stroud 2023 Topps Chrome 1973 NFL #1973-12","CJ Stroud 2023 Topps Chrome 1973 Rookie NFL #1973-12 Football Card PSA 10 Gem",,$5.67,$18.67,39,3,$12.99,229.0%,2025-08-08T21:23:49.226Z
18,"1954 Topps Jackie Robinson #10","1954 Topps Jackie Robinson #10 PSA 5 EX",,$555.75,$4984.40,429,4,$4428.65,796.9%,2025-08-08T21:21:32.962Z
17,"2023 Panini Prizm Monopoly Pink Victor Wembanyama /149 #81","2023 Panini Prizm Monopoly Pink Victor Wembanyama ROOKIE /149 #81 PSA 10 GEM",,$312.08,$153.50,257,3,$-158.58,-50.8%,2025-08-08T19:31:39.043Z
